"","date","松山機場","中山國中","南京復興","忠孝復興","大安","科技大樓","六張犁","麟光","辛亥","萬芳醫院","萬芳社區","木柵","動物園","大直","劍南路","西湖","港墘","文德","內湖","大湖公園","葫洲","東湖","南港軟體園區","南港展覽館","小碧潭","新店","新店區公所","七張","大坪林","景美","萬隆","公館","台電大樓","古亭","中正紀念堂","小南門","頂溪","永安市場","景安","南勢角","台大醫院","台北車站","中山","雙連","民權西路","圓山","劍潭","士林","芝山","明德","石牌","唭哩岸","奇岩","北投","新北投","復興崗","忠義","關渡","竹圍","紅樹林","淡水","頂埔","永寧","土城","海山","亞東醫院","府中","板橋","新埔","江子翠","龍山寺","西門","善導寺","忠孝新生","忠孝敦化","國父紀念館","市政府","永春","後山埤","昆陽","南港","象山","台北101/世貿","信義安和","大安森林公園","北門","松江南京","台北小巨蛋","南京三民","松山","輔大","新莊","頭前庄","先嗇宮","三重","菜寮","台北橋","大橋頭","中山國小","行天宮","東門","蘆洲","三民高中","徐匯中學","三和國中","三重國小","迴龍","丹鳳","NA"
"1",2015-12-01,5363,16210,34679,43795,24695,15498,11847,4036,3221,15121,2409,4529,7072,10377,9618,17368,15761,5602,7889,3263,8326,8208,4354,28495,2119,11749,11263,15984,21018,16422,9330,27530,17717,32477,28917,9425,34665,25779,25545,20978,24211,128010,32477,21699,25860,25387,35624,28231,23261,13708,30475,7869,9055,17623,7016,3480,2877,13543,9858,7589,37407,6427,11083,6725,20905,21283,27290,35730,42504,25233,28251,60825,21819,30002,35574,20409,53460,20147,16793,15025,12844,11024,29291,15473,7020,7029,35467,17703,19401,20034,12868,10474,4856,4446,4305,9252,8172,12851,16725,24873,22501,12063,12038,11331,12184,11277,8885,8526,NA
"2",2015-12-02,5405,16304,35173,44930,24885,16005,12057,4079,3623,15658,2524,4752,7294,10631,10142,17521,15521,5710,8204,3341,8310,8545,4405,28687,2182,12213,11365,16257,21410,16656,9421,28401,18159,33128,29093,9231,34845,26796,25743,21218,24402,131290,33645,22364,26198,25747,37581,29835,24243,13795,31339,7990,9152,18088,7532,3493,2967,13828,10104,7820,39181,6415,11105,6886,20941,21593,28024,37133,42724,25587,28575,64039,22252,30982,36984,21815,54861,20310,17121,15194,12922,11278,30864,15882,7221,7181,37164,18214,20291,20241,13003,10454,4945,4414,4435,9495,8284,12920,16873,25749,23104,12270,12201,11568,12097,11441,9098,8591,NA
"3",2015-12-03,5851,16803,36069,46563,25055,16245,12043,4164,3861,15615,2491,4648,6996,10764,10088,17672,15894,5910,7930,3104,8570,8545,4446,28873,2304,12157,11307,16638,21608,16886,9565,29202,19001,33188,30359,9183,35291,26523,26047,21426,23557,140868,34228,21616,26333,25648,36514,29221,23583,13199,31270,7933,9324,17656,7240,3503,2854,14134,9862,7601,37920,6517,11168,6825,21055,21659,28018,36623,42914,25949,29583,64207,22942,32052,37564,20288,56644,20363,17245,15210,13381,11274,31561,16213,7118,6906,36751,21474,20383,20381,13358,10521,4946,4402,4352,9400,8449,13358,16840,25694,23869,12390,12463,11697,12380,11677,8999,8783,NA
"4",2015-12-04,6559,17681,37206,53419,26185,17475,12862,4297,3977,17933,2588,4885,9201,11568,12362,18344,17387,6536,8857,3400,9463,9120,4496,33704,2495,12778,12355,18136,23234,18675,10377,35674,21476,36098,32370,9489,38079,28475,27776,22376,23513,176551,38172,23461,28030,27887,41507,33064,25459,14036,33401,8575,9757,19434,8106,3609,3058,14542,10566,8783,45826,7055,12563,7248,22604,22388,31349,46332,45799,27171,29300,75500,24432,35251,43543,22525,64159,22130,18604,16432,14437,11800,35421,17090,7707,7496,38452,22668,21281,22415,14522,11158,5280,4498,4592,10044,9188,15090,18154,27511,25501,12986,13245,12527,12761,12446,9825,9543,NA
"5",2015-12-05,4992,13801,23943,55440,16635,13752,9956,3942,3273,11720,2229,3722,12469,9042,15585,7004,7772,4843,8832,4051,6915,7950,2167,22475,2262,13314,10770,15774,18987,16228,9725,40057,21656,30410,30537,6174,35720,25594,24859,21052,18186,197029,39471,19921,20995,31354,44454,32050,24457,11452,28460,7253,7289,17668,9819,3475,2099,10338,10292,6747,51280,6481,12818,7465,20556,17534,33208,64039,42462,25063,30588,87796,17651,34390,42638,19518,64539,17963,16997,11634,9755,10562,39951,12734,10423,5941,26652,16574,16762,20226,15616,15337,6269,3187,4950,10060,9133,13156,14353,21311,24778,11925,12020,13550,11773,11822,9397,9491,NA
"6",2015-12-06,4825,10339,17917,46273,14334,10462,7762,3270,2381,7733,1544,2451,6833,7950,13595,5307,6787,3558,6612,2438,5409,5919,1787,16827,2323,9658,8238,12450,14838,16251,7976,36462,17656,23567,20750,3773,28057,20176,19184,16292,12344,199900,33111,13238,19184,23098,32067,23257,20344,7893,22151,5574,5341,13020,7984,2518,1576,7225,7050,4939,31769,5118,9732,5770,16346,13456,25791,50867,34002,19910,24002,73864,16388,27817,34339,15384,55983,14032,12928,8800,8278,7047,35064,10062,6973,4797,16848,13617,12699,14924,7737,11110,4826,2133,3797,7553,7554,10751,11456,16647,19332,9084,9457,9853,9414,9620,6860,7139,NA
"7",2015-12-07,5688,16241,34516,45096,24642,15551,11668,4044,3215,14837,2393,4499,5900,10046,9792,17129,15579,5635,7776,3203,8499,8438,4333,28734,2220,11891,11127,15813,20979,16334,9329,27168,18047,32397,26830,8890,34711,25562,25662,21237,23890,149568,33117,21686,25888,25291,34851,28379,22633,13436,30203,7886,9282,17702,7177,3403,2832,13035,9869,7461,37725,6444,11384,7014,20690,21329,27617,38245,41876,25130,27841,64262,21366,30031,37249,19495,56104,19730,17346,14763,12606,10865,25617,15366,6804,6871,34662,21286,19673,20871,7957,10399,5028,4352,4030,9455,8577,13091,16560,25294,21436,12284,12170,11425,12066,11510,8879,8528,NA
"8",2015-12-08,5447,16725,35940,46337,25645,15702,12223,4145,3237,15501,2510,4629,7588,10605,9915,17537,16066,5793,8006,3204,8443,8579,4566,31014,2210,12243,11225,16043,21154,16554,9507,27681,17883,32970,30100,9319,35388,26527,25940,21349,24927,138576,33694,22080,26409,26319,36256,29244,23838,13830,31194,7838,9491,18253,7416,3516,2873,13677,9960,7625,37676,6531,11614,6817,20965,21951,28244,37853,43131,25478,28231,63732,23385,31006,38050,20370,55591,20785,17288,15161,13034,10969,25618,15733,6920,7133,36175,21177,20566,21069,13346,10684,5090,4498,4341,9764,8388,13279,17036,25962,23093,12321,12292,11693,12248,11581,9167,8607,NA
"9",2015-12-09,5503,16752,36446,47642,26185,16554,12263,4200,3340,15883,2523,4657,6733,10772,10320,17964,16182,5841,8133,3160,8599,8335,4696,29436,2188,12335,11467,16623,21608,16882,9555,28988,18587,34321,31195,9497,35645,26508,26218,21545,25001,141843,35272,22308,26632,26794,35650,29831,24286,13836,31789,8079,9695,17941,7223,3558,2912,14025,10092,7668,37848,6615,11439,7165,20892,21916,28485,37879,43962,25656,27553,64212,23827,31588,39839,22229,57517,21033,17338,15077,13057,10942,27861,16231,7256,7401,37761,21699,20865,20369,13103,10836,5192,4429,4384,9746,8441,13088,17252,26216,22691,12495,12374,11862,12363,11581,9176,8797,NA
"10",2015-12-10,5727,17141,37069,48177,25618,16544,12191,4189,3280,15520,2552,4661,6694,10803,10631,17783,16061,5895,8064,3242,8724,8556,4496,30988,2316,12197,11573,16646,21891,17060,9851,29098,19421,34264,31109,9533,36453,27048,26941,21824,24040,145958,35380,22116,26743,26492,38295,29782,23774,13829,31831,8059,9723,18194,7179,3554,2933,13902,9900,7737,38375,6668,11510,6856,20961,21687,29060,38511,43912,25766,28789,66852,23605,32391,39416,22013,60173,21153,17738,15153,13409,11212,30681,16312,7215,7406,37587,22272,20892,21454,13267,10854,5277,4549,4367,9708,8895,13530,17449,27176,24086,12540,12544,12125,12588,12060,9326,8960,NA
